type,secteur,etage,surface habitable,surface totale,nbr chambre,nbr salleBain,salon,age de bien,prix
"appartements, à vendre",belvédère,0.0,49.0,16.0,1.0,1.0,1.0,15,670000.0
"appartements, à vendre",palmier,3.0,93.0,93.0,2.0,2.0,1.0,5,1550000.0
"appartements, à vendre",sidi moumen,3.0,75.0,75.0,2.0,2.0,1.0,5,620000.0
"appartements, à vendre",sidi moumen,2.0,59.0,59.0,2.0,2.0,1.0,15,350000.0
"appartements, à vendre",aïn chock,1.0,68.0,68.0,1.0,2.0,2.0,10,820000.0
"appartements, à vendre",hay mansour,2.0,163.0,163.0,3.0,3.0,2.0,15,2400000.0
"appartements, à vendre",californie,4.0,114.0,114.0,3.0,2.0,2.0,10,1675000.0
"appartements, à vendre",maarif,3.0,40.0,40.0,1.0,1.0,1.0,1,860000.0
"appartements, à vendre",autre secteur,2.0,55.0,55.0,2.0,1.0,1.0,10,300000.0
"appartements, à vendre",oasis,3.0,61.0,61.0,2.0,2.0,1.0,1,1189500.0
"appartements, à vendre",maarif,4.0,87.0,107.0,2.0,2.0,2.0,15,1250000.0
"appartements, à vendre",sidi maarouf,2.0,86.0,86.0,2.0,1.0,1.0,15,820000.0
"appartements, à vendre",aïn sebaâ,0.0,67.0,89.0,1.0,2.0,1.0,1,750000.0
"appartements, à vendre",aïn sebaâ,2.0,117.0,117.0,3.0,2.0,2.0,1,1100000.0
"appartements, à vendre",sidi maarouf,3.0,54.0,54.0,2.0,1.0,1.0,15,300000.0
"appartements, à vendre",ferme bretone,1.0,86.0,92.0,2.0,2.0,1.0,1,1517100.0
"appartements, à vendre",racine,3.0,145.0,145.0,3.0,2.0,3.0,15,2900000.0
"appartements, à vendre",quartier des hôpitaux,3.0,71.0,71.0,1.0,1.0,1.0,5,1200000.0
"appartements, à vendre",oulfa,3.0,53.0,53.0,2.0,1.0,1.0,15,345000.0
"appartements, à vendre",sidi maarouf,4.0,49.0,50.0,2.0,1.0,1.0,15,385000.0
"appartements, à vendre",oulfa,0.0,54.0,54.0,2.0,1.0,1.0,5,340000.0
"appartements, à vendre",beauséjour,4.0,101.0,101.0,3.0,2.0,1.0,10,14000000.0
"appartements, à vendre",sidi maarouf,3.0,76.0,76.0,3.0,2.0,1.0,15,5700000.0
"appartements, à vendre",hay mansour,2.0,163.0,163.0,3.0,3.0,2.0,15,2400000.0
"appartements, à vendre",anfa,2.0,113.0,113.0,2.0,2.0,2.0,15,1100000.0
"appartements, à vendre",sidi maarouf,3.0,46.0,46.0,1.0,1.0,1.0,15,230000.0
"appartements, à vendre",sidi maarouf,4.0,50.0,51.0,2.0,1.0,1.0,15,385000.0
"appartements, à vendre",oulfa,3.0,52.0,52.0,2.0,1.0,1.0,10,300000.0
"appartements, à vendre",quartier des hôpitaux,5.0,108.0,108.0,3.0,2.0,1.0,15,1500000.0
"appartements, à vendre",racine,1.0,135.0,135.0,3.0,2.0,1.0,15,2350000.0
"appartements, à vendre",maarif,4.0,130.0,138.0,3.0,2.0,1.0,20,1250000.0
"appartements, à vendre",oulfa,3.0,82.0,82.0,2.0,1.0,1.0,10,850000.0
"appartements, à vendre",sidi maarouf,2.0,132.0,140.0,3.0,3.0,1.0,1,1280000.0
"appartements, à vendre",sidi maarouf,2.0,122.0,122.0,3.0,2.0,1.0,1,1220000.0
"appartements, à vendre",maarif,4.0,137.0,124.0,3.0,3.0,3.0,15,2399984.0
"appartements, à vendre",hay hassani,3.0,40.0,40.0,1.0,1.0,1.0,10,300000.0
"appartements, à vendre",aïn chock,3.0,58.0,58.0,2.0,1.0,1.0,15,440000.0
"appartements, à vendre",oulfa,3.0,68.0,68.0,2.0,1.0,1.0,10,650000.0
"appartements, à vendre",bourgogne,2.0,69.0,74.0,2.0,2.0,2.0,1,18500.0
"appartements, à vendre",maarif,5.0,50.0,90.0,1.0,1.0,1.0,1,1315000.0
"appartements, à vendre",maarif,4.0,72.0,87.0,2.0,2.0,1.0,1,1485000.0
"appartements, à vendre",aïn diab,2.0,102.0,300.0,2.0,1.0,1.0,5,30000000.0
"appartements, à vendre",la gironde,5.0,104.0,104.0,2.0,1.0,1.0,10,1000000.0
"appartements, à vendre",oulfa,2.0,56.0,56.0,2.0,1.0,1.0,10,390000.0
"appartements, à vendre",ben m'sick,2.0,70.0,80.0,2.0,1.0,1.0,20,2300.0
"appartements, à vendre",aïn chock,2.0,60.0,60.0,2.0,1.0,1.0,5,580000.0
"appartements, à vendre",belvédère,6.0,131.0,140.0,3.0,2.0,2.0,10,1700000.0
"appartements, à vendre",roches noires,2.0,107.0,114.0,3.0,2.0,2.0,15,1080000.0
"appartements, à vendre",quartier des hôpitaux,1.0,200.0,220.0,3.0,2.0,2.0,1,12500.0
"appartements, à vendre",centre ville,2.0,120.0,120.0,3.0,1.0,1.0,20,260000.0
